name,developers,is_free,negative,owners,positive,publishers,release_yyyy_mm,category_descriptions,genre_descriptions,tags_list
Portal,['Valve'],False,2717,"10,000,000 .. 20,000,000",175024,['Valve'],2007-10-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Camera Comfort', 'Custom Volume Controls', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Includes level editor', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Action'],"['Puzzle', 'Puzzle-Platformer', 'First-Person', '3D Platformer', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Physics', 'Funny', 'Action', 'Classic', 'Story Rich', 'Platformer', 'Science', 'Atmospheric', 'Dark Humor', 'Short', 'FPS', 'Adventure']"
American Truck Simulator,['SCS Software'],False,5552,"2,000,000 .. 5,000,000",169735,['SCS Software'],2016-02-01,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']","['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation', 'America', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Management', 'Atmospheric', 'Immersive Sim', 'Multiplayer', 'Singleplayer', 'Adventure', 'Casual', 'Family Friendly', 'Level Editor']"
Resident Evil 2,"['CAPCOM Co., Ltd.']",False,5210,"5,000,000 .. 10,000,000",167647,"['CAPCOM Co., Ltd.']",2019-01-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available', 'Family Sharing']",['Action'],"['Zombies', 'Survival Horror', 'Horror', 'Singleplayer', 'Remake', 'Third Person', 'Gore', 'Action', 'Puzzle', 'Atmospheric', 'Story Rich', 'Violent', 'Multiplayer', 'Survival', 'Classic', 'Female Protagonist', 'Dark', 'Shooter', 'Adventure', 'Difficult']"
Battlefield™ 1,['DICE'],False,26046,"5,000,000 .. 10,000,000",166775,['Electronic Arts'],2020-06-01,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HDR available']","['Action', 'Massively Multiplayer']","['FPS', 'Multiplayer', 'Singleplayer', 'World War I', 'War', 'Shooter', 'Action', 'First-Person', 'Historical', 'Atmospheric', 'PvP', 'Massively Multiplayer', 'Gore', 'Tanks', 'Destruction', 'Open World', 'Violent', 'Physics', 'Mature', 'Great Soundtrack']"
ULTRAKILL,"['Arsi ""Hakita"" Patala']",False,3884,"5,000,000 .. 10,000,000",165867,['New Blood Interactive'],2020-09-01,"['Single-player', 'Full controller support', 'Steam Cloud', 'Family Sharing']","['Action', 'Indie', 'Early Access']","['Boomer Shooter', 'Fast-Paced', 'FPS', 'Blood', 'Character Action Game', 'Arena Shooter', 'Spectacle fighter', 'Retro', 'Singleplayer', 'Shooter', 'Great Soundtrack', 'Difficult', 'First-Person', 'Action', 'Score Attack', 'Colorful', 'Robots', 'Old School', 'Cyberpunk', 'Early Access']"
Dead Cells,['Motion Twin'],False,4915,"5,000,000 .. 10,000,000",163549,['Motion Twin'],2018-08-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']","['Adventure', 'Action Roguelike', 'Metroidvania', 'Pixel Graphics', 'Rogue-like', '2D', 'Souls-like', 'Rogue-lite', 'Difficult', 'Hack and Slash', 'Replay Value', 'Platformer', 'Singleplayer', 'Roguevania', 'Action', 'Dark Fantasy', 'Atmospheric', 'Procedural Generation', 'Funny', 'Indie']"
Life is Strange - Episode 1,"['DONTNOD Entertainment', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",True,6432,"5,000,000 .. 10,000,000",162769,"['Square Enix', 'Feral interactive (Mac)', 'Feral Interactive (Linux)']",2015-01-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']","['Story Rich', 'Choices Matter', 'Great Soundtrack', 'Female Protagonist', 'Time Travel', 'Atmospheric', 'Episodic', 'Singleplayer', 'Adventure', 'Time Manipulation', 'Multiple Endings', 'Mystery', 'Third Person', 'Point & Click', 'Indie', 'Walking Simulator', 'Casual', 'Action', 'LGBTQ+', 'Memes']"
Mount & Blade: Warband,['TaleWorlds Entertainment'],False,3773,"5,000,000 .. 10,000,000",162632,['TaleWorlds Entertainment'],2010-03-01,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']","['Action', 'RPG']","['Medieval', 'RPG', 'Open World', 'Strategy', 'Sandbox', 'Multiplayer', 'Action', 'Moddable', 'Military', 'Adventure', 'Horses', 'Singleplayer', 'Realistic', 'First-Person', 'Historical', 'Third Person', 'Simulation', 'Hack and Slash', 'Fantasy', 'Indie']"
Detroit: Become Human,['Quantic Dream'],False,7152,"2,000,000 .. 5,000,000",162047,['Quantic Dream'],2020-06-01,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']","['Choices Matter', 'Story Rich', 'Multiple Endings', 'Cinematic', 'Singleplayer', 'Emotional', 'Futuristic', 'Robots', 'Sci-fi', 'Adventure', 'Beautiful', 'Atmospheric', 'Great Soundtrack', 'Third Person', 'Replay Value', 'Dynamic Narration', 'Cyberpunk', 'Narration', 'Violent', 'Female Protagonist']"
Stellaris,['Paradox Development Studio'],False,25906,"2,000,000 .. 5,000,000",159527,['Paradox Interactive'],2016-05-01,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['Simulation', 'Strategy']","['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Singleplayer', 'Real-Time with Pause', 'Moddable', 'Management', 'Diplomacy', 'Military', 'Futuristic', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']"
